"Language","original","english","german","russian","czech","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"GasMask_WW1_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 20 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 20 Min",
"GasMask_CBRN_Left_Filter","Gas mask filter (CBRN Filter Left)","Gas mask filter (CBRN Filter Left)","Gasmaskenfilter (CBRN Filter Links)","Фильтр от противогаза (CBRN Filter Left)","Gas mask filter (CBRN Filter Left)","Gas mask filter (CBRN Filter Left)","Gas mask filter (CBRN Filter Left)","Gas mask filter (CBRN Filter Left)","Gas mask filter (CBRN Filter Left)","Gas mask filter (CBRN Filter Left)","Gas mask filter (CBRN Filter Left)","Gas mask filter (CBRN Filter Left)","Gas mask filter (CBRN Filter Left)","Gas mask filter (CBRN Filter Left)",
"GasMask_CBRN_Left_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 40 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min",
"GasMask_CBRN_Right_Filter","Gas mask filter (CBRN Filter Right)","Gas mask filter (CBRN Filter Right)","Gasmaskenfilter (CBRN Filter Rechts)","Фильтр от противогаза (CBRN Filter Right)","Gas mask filter (CBRN Filter Right)","Gas mask filter (CBRN Filter Right)","Gas mask filter (CBRN Filter Right)","Gas mask filter (CBRN Filter Right)","Gas mask filter (CBRN Filter Right)","Gas mask filter (CBRN Filter Right)","Gas mask filter (CBRN Filter Right)","Gas mask filter (CBRN Filter Right)","Gas mask filter (CBRN Filter Right)","Gas mask filter (CBRN Filter Right)",
"GasMask_CBRN_Right_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 40 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min",
"GasMask_PPM88_Filter","Gas mask filter (PPM88)","Gas mask filter (PPM88)","Gasmaskenfilter (PPM88)","Фильтр от противогаза (PPM88)","Gas mask filter (PPM88)","Gas mask filter (PPM88)","Gas mask filter (PPM88)","Gas mask filter (PPM88)","Gas mask filter (PPM88)","Gas mask filter (PPM88)","Gas mask filter (PPM88)","Gas mask filter (PPM88)","Gas mask filter (PPM88)","Gas mask filter (PPM88)",
"GasMask_PPM88_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 40 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min",
"GasMask_Stalker_Filter","Gas mask filter (Stalker)","Gas mask filter (Stalker)","Gasmaskenfilter (Stalker)","Фильтр от противогаза (Stalker)","Gas mask filter (Stalker)","Gas mask filter (Stalker)","Gas mask filter (Stalker)","Gas mask filter (Stalker)","Gas mask filter (Stalker)","Gas mask filter (Stalker)","Gas mask filter (Stalker)","Gas mask filter (Stalker)","Gas mask filter (Stalker)","Gas mask filter (Stalker)",
"GasMask_Stalker_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 40 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min",
"GasMask_Stalker_FullFace_Filter","Gas mask filter (Stalker FullFace)","Gas mask filter (Stalker FullFace)","Gasmaskenfilter (Stalker Vollmaske)","Фильтр от противогаза (Stalker FullFace)","Gas mask filter (Stalker FullFace)","Gas mask filter (Stalker FullFace)","Gas mask filter (Stalker FullFace)","Gas mask filter (Stalker FullFace)","Gas mask filter (Stalker FullFace)","Gas mask filter (Stalker FullFace)","Gas mask filter (Stalker FullFace)","Gas mask filter (Stalker FullFace)","Gas mask filter (Stalker FullFace)","Gas mask filter (Stalker FullFace)",
"GasMask_Stalker_FullFace_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 40 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min",
"GasMask_CBRN","Gas mask (CBRN)","Gas mask (CBRN)","Gasmaske (CBRN)","Противогаз (CBRN)","Gas mask (CBRN)","Gas mask (CBRN)","Gas mask (CBRN)","Gas mask (CBRN)","Gas mask (CBRN)","Gas mask (CBRN)","Gas mask (CBRN)","Gas mask (CBRN)","Gas mask (CBRN)","Gas mask (CBRN)",
"GasMask_CBRN_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_PPM88","Gas mask (PPM88)","Gas mask (PPM88)","Gasmaske (PPM88)","Противогаз (PPM88)","Gas mask (PPM88)","Gas mask (PPM88)","Gas mask (PPM88)","Gas mask (PPM88)","Gas mask (PPM88)","Gas mask (PPM88)","Gas mask (PPM88)","Gas mask (PPM88)","Gas mask (PPM88)","Gas mask (PPM88)",
"GasMask_PPM88_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_Stalker","Gas mask (Stalker)","Gas mask (Stalker)","Gasmaske (Stalker)","Противогаз (Stalker)","Gas mask (Stalker)","Gas mask (Stalker)","Gas mask (Stalker)","Gas mask (Stalker)","Gas mask (Stalker)","Gas mask (Stalker)","Gas mask (Stalker)","Gas mask (Stalker)","Gas mask (Stalker)","Gas mask (Stalker)",
"GasMask_Stalker_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_Stalker_FullFace","Gas mask (Stalker Full Face)","Gas mask (Stalker Full Face)","Gasmaske (Stalker Vollmaske)","Противогаз (Stalker Full Face)","Gas mask (Stalker Full Face)","Gas mask (Stalker Full Face)","Gas mask (Stalker Full Face)","Gas mask (Stalker Full Face)","Gas mask (Stalker Full Face)","Gas mask (Stalker Full Face)","Gas mask (Stalker Full Face)","Gas mask (Stalker Full Face)","Gas mask (Stalker Full Face)","Gas mask (Stalker Full Face)",
"GasMask_Stalker_FullFace_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
